,p_id,name,price,colour,brand,ratingCount,avg_rating,Occasion,Border,Fabric,Ornamentation,Pattern,Print or Pattern Type,Sustainable,Technique,Wash Care,Wedding,AddOns
0,1518329,Dupatta Bazaar White Embroidered Chiffon Dupatta,899,White,dupatta bazaar,1321,4.548826646,Daily,,,,Embroidered,Floral,,,,,
1,10711448,Dupatta Bazaar Women White Solid Dupatta,599,White,dupatta bazaar,1531,4.536250816,Daily,Taping,Poly Chiffon,NA,Solid,Solid,,NA,Hand Wash,,
2,14964708,Dupatta Bazaar Orange & Green Dyed Art Silk Bandhani Dupatta,899,Orange,dupatta bazaar,30,4.366666667,Daily,Woven Design,Art Silk,NA,Dyed,Bandhani,Regular,Bandhani,Machine Wash,,
3,13552234,Dupatta Bazaar Black Solid Dupatta,599,Black,dupatta bazaar,232,4.547413793,Daily,Solid,Poly Chiffon,NA,Solid,Solid,Regular,NA,Machine Wash,,
4,17663032,Dupatta Bazaar Women's Solid Orange Dupatta,599,Orange,dupatta bazaar,0,0,Party,Woven Design,Poly Chiffon,NA,Solid,Solid,Regular,NA,Machine Wash,Guests & Gifting,
5,12866574,Dupatta Bazaar Maroon Solid Dupatta,699,Maroon,dupatta bazaar,118,4.245762712,Daily,Fringed,Poly Chiffon,NA,Solid,Solid,Regular,NA,Machine Wash,,
6,17662986,Dupatta Bazaar Green Striped Tie and Dye Dupatta,999,Green,dupatta bazaar,0,0,Party,Embellished,Silk Blend,NA,Striped,Leheriya,Regular,Tie and Dye,Hand Wash,Guests & Gifting,
7,15514526,Dupatta Bazaar Navy Blue Embroidered Dupatta with Mirror Work,999,Navy Blue,dupatta bazaar,41,4.536585366,Party,Taping,Poly Chiffon,Mirror Work,Embroidered,Geometric,Regular,NA,Dry Clean,Guests & Gifting,
8,14447434,Dupatta Bazaar White Ethnic Motifs Embroidered Dupatta,999,White,dupatta bazaar,47,4.382978723,Daily,Taping,Poly Chiffon,NA,Embroidered,Ethnic Motifs,Regular,NA,Hand Wash,,
9,13041774,Dupatta Bazaar Women Pink & Off-White Striped Leheriya Dupatta,1399,Pink,dupatta bazaar,0,0,Party,Taping,Poly Chiffon,Gotta Patti,Printed,Leheriya,Regular,Leheriya,Hand Wash,Guests & Gifting,
10,10588018,Dupatta Bazaar White Dyed Dupatta,499,White,dupatta bazaar,154,4.415584416,Daily,Fringed,Poly Chiffon,NA,Dyed,Solid,,NA,Machine Wash,,
11,14447530,Dupatta Bazaar Pink & Gold-Toned Woven Design Banarasi Pure Silk Dupatta,1499,Pink,dupatta bazaar,12,4,Daily,Tasselled,Pure Silk,NA,Woven Design,Floral,Regular,NA,Dry Clean,,
12,17663034,Dupatta Bazaar Off White & Gold-Toned Embroidered Dupatta,999,Off White,dupatta bazaar,7,4.571428571,Party,Embellished,Net,Sequinned,Embroidered,Solid,Regular,NA,Dry Clean,Guests & Gifting,
13,996728,Dupatta Bazaar Beige Silk Dupatta,599,Beige,dupatta bazaar,173,4.098265896,Daily,,,Zari,Solid,,,,,,
14,14160408,Dupatta Bazaar Silver-Toned Solid Dupatta,899,Silver,dupatta bazaar,12,4.666666667,Daily,Tasselled,Silk Blend,NA,Solid,Solid,Regular,NA,Hand Wash,,
15,10487070,Dupatta Bazaar Off-White Solid Dupatta,599,Off White,dupatta bazaar,59,4.084745763,Daily,Fringed,Silk Blend,NA,Solid,Solid,,NA,Machine Wash,,
16,18652504,Dupatta Bazaar Yellow & Pink Embroidered Dupatta with Thread Work,6999,Yellow,dupatta bazaar,0,0,Party,Taping,Viscose Georgette,Thread Work,Embroidered,Floral,Regular,NA,Dry Clean,Bride & Wedding Squad,
17,14160340,Dupatta Bazaar White Embroidered Chiffon Dupatta,999,White,dupatta bazaar,15,4.133333333,Daily,Taping,Poly Chiffon,Thread Work,Embroidered,Ethnic Motifs,Regular,NA,Hand Wash,,
18,12866552,Dupatta Bazaar Orange Solid Dupatta,699,Orange,dupatta bazaar,21,4.19047619,Daily,Fringed,Poly Chiffon,NA,Solid,Solid,Regular,NA,Machine Wash,,
19,17662850,Dupatta Bazaar Gold-Toned Embroidered Dupatta with Gotta Patti,999,Gold,dupatta bazaar,9,4,Party,Embellished,Net,Gotta Patti,Embroidered,Geometric,Regular,NA,Dry Clean,Guests & Gifting,
20,17662820,Dupatta Bazaar Maroon Dupatta,599,Maroon,dupatta bazaar,0,0,Party,Woven Design,Poly Chiffon,NA,Solid,Solid,Regular,NA,Machine Wash,Guests & Gifting,
21,996729,Dupatta Bazaar White Silk Dupatta,599,White,dupatta bazaar,33,4.181818182,Daily,,,,Solid,,,,,,
22,12047844,Dupatta Bazaar Beige & Gold-Coloured Embellished Dupatta,799,Beige,dupatta bazaar,207,3.739130435,Party,Embellished,Net,Beads and Stones,Solid,Solid,Regular,NA,Hand Wash,Guests & Gifting,
23,15043152,Dupatta Bazaar Maroon & Black Ethnic Motifs Block Printed Dupatta,3499,Maroon,dupatta bazaar,9,4.555555556,Party,Solid,Silk Blend,NA,Printed,Ethnic Motifs,Regular,Block Print,Dry Clean,,
24,17662882,Dupatta Bazaar Red Woven Design Dupatta with Sequinned Detail,999,Red,dupatta bazaar,0,0,Party,Embellished,Net,Sequinned,Woven Design,Geometric,Regular,NA,Dry Clean,NA,
25,10358133,Dupatta Bazaar Red & Gold-Coloured Woven Design Dupatta,699,Red,dupatta bazaar,51,4.37254902,Daily,Solid,Poly Chiffon,NA,Woven Design,Polka Dots,,NA,Machine Wash,,
26,18207362,Dupatta Bazaar Black Linen Dupatta,899,Black,dupatta bazaar,0,0,Daily,Tasselled,Linen,NA,Solid,Solid,Regular,NA,Hand Wash,NA,
27,18207274,Dupatta Bazaar Pink & Gold-Toned Ethnic Motifs Printed Art Silk Dupatta,899,Pink,dupatta bazaar,0,0,Party,Tasselled,Art Silk,NA,Printed,Ethnic Motifs,Regular,NA,Hand Wash,Guests & Gifting,
28,17662918,Dupatta Bazaar White & Gold-Toned Embroidered Net Dupatta,999,White,dupatta bazaar,5,4.2,Party,Embellished,Net,Sequinned,Embroidered,Solid,Regular,NA,Dry Clean,Guests & Gifting,
29,18068014,Dupatta Bazaar Women Red Embroidered Chiffon Dupatta,799,Red,dupatta bazaar,0,0,Party,Taping,Poly Chiffon,NA,Embroidered,Floral,Regular,NA,Machine Wash,Guests & Gifting,
30,12967844,Dupatta Bazaar Black Embroidered Dupatta,899,Black,dupatta bazaar,18,4.444444444,Party,Tasselled,Poly Chiffon,NA,Embroidered,Ethnic Motifs,Regular,NA,Hand Wash,Guests & Gifting,
31,1518333,Dupatta Bazaar White & Gold-Toned Embroidered & Embellished Chiffon Dupatta,899,White,dupatta bazaar,87,4.022988506,Party,Taping,Poly Chiffon,Thread Work,Embroidered,Polka Dots,Regular,NA,Hand Wash,Guests & Gifting,
32,13552264,Dupatta Bazaar Pink & Gold-Toned Woven Design Dupatta,799,Pink,dupatta bazaar,16,3.3125,Daily,Fringed,Silk Blend,NA,Woven Design,Striped,Regular,NA,Hand Wash,,
33,1852518,Dupatta Bazaar Red & Orange Silk Bandhani Print Dupatta,2399,Red,dupatta bazaar,11,3.727272727,Party,,,Gotta Patti,Printed,Bandhani,,Bandhani,,,
34,18652572,Dupatta Bazaar Olive Green Printed Tie and Dye Dupatta,499,Olive,dupatta bazaar,5,4.4,Daily,Taping,Poly Chiffon,NA,Printed,Bandhani,Regular,Tie and Dye,Hand Wash,Guests & Gifting,
35,18976780,Dupatta Bazaar Blue & Gold-Toned Woven Design Organza Dupatta,999,Blue,dupatta bazaar,0,0,Party,Tasselled,Organza,NA,Woven Design,Striped,Regular,NA,Hand Wash,Guests & Gifting,
36,10358153,Dupatta Bazaar White Solid Dupatta,599,White,dupatta bazaar,11,4.272727273,Daily,Tasselled,Cotton Silk,NA,Solid,Solid,,NA,Machine Wash,,
37,14160344,Dupatta Bazaar Olive Green Solid Organza Dupatta,599,Olive,dupatta bazaar,19,4.052631579,Daily,Tasselled,Organza,NA,Solid,Solid,Regular,NA,Hand Wash,,
38,14447462,Dupatta Bazaar Green Ethnic Motifs Embroidered Dupatta with Mirror Work,999,Green,dupatta bazaar,18,4.666666667,Party,Solid,Poly Chiffon,Mirror Work,Embroidered,Ethnic Motifs,Regular,NA,Hand Wash,Guests & Gifting,
39,12889076,Dupatta Bazaar Navy Blue Embroidered Dupatta,999,Navy Blue,dupatta bazaar,7,4.285714286,Daily,Taping,Poly Chiffon,Thread Work,Embroidered,Floral,Regular,NA,Hand Wash,,
40,9260667,Dupatta Bazaar Beige & Pink Printed Dupatta,799,Beige,dupatta bazaar,35,4.285714286,Party,Fringed,Silk Blend,NA,Printed,Floral,Regular,NA,Hand Wash,Guests & Gifting,
41,17663042,Dupatta Bazaar Beige & White Kashmiri Embroidered Dupatta with Thread Work,2199,Beige,dupatta bazaar,0,0,Party,Embellished,Poly Chiffon,Thread Work,Embroidered,Paisley,Regular,NA,Dry Clean,Bride & Wedding Squad,
42,17662996,Dupatta Bazaar Orange Solid Pure Cotton Dupatta,899,Orange,dupatta bazaar,0,0,Daily,Taping,Pure Cotton,NA,Solid,Solid,Regular,NA,Machine Wash,Guests & Gifting,
43,14160382,Dupatta Bazaar Navy Blue & White Printed Bandhini Silk Dupatta,799,Navy Blue,dupatta bazaar,13,4.615384615,Daily,Solid,Silk Blend,NA,Printed,Bandhani,Regular,Bandhani,Hand Wash,,
44,17662896,Dupatta Bazaar Fuchsia Ethnic Motifs Embroidered Dupatta,1999,Fuchsia,dupatta bazaar,0,0,Party,Embellished,Poly Georgette,NA,Embroidered,Ethnic Motifs,Regular,NA,Dry Clean,Guests & Gifting,
45,12889112,Dupatta Bazaar Blue & White Printed Dupatta,799,Blue,dupatta bazaar,10,4.8,Daily,Tasselled,Art Silk,NA,Printed,Ethnic Motifs,Regular,NA,Machine Wash,,
46,17545288,Dupatta Bazaar Beige & Black Ethnic Motifs Printed Dupatta,899,Beige,dupatta bazaar,14,4.357142857,Daily,Tasselled,Silk Blend,NA,Printed,Ethnic Motifs,Regular,NA,Hand Wash,Guests & Gifting,
47,17545302,Dupatta Bazaar Green & White Printed Art Silk Dupatta,899,Green,dupatta bazaar,0,0,Daily,Tasselled,Art Silk,NA,Printed,Floral,Regular,NA,Hand Wash,Guests & Gifting,
48,18068038,Dupatta Bazaar Purple & Gold-Toned Dyed Leheriya Dupatta with Gotta Patti,1499,Purple,dupatta bazaar,0,0,Party,Taping,Poly Georgette,Gotta Patti,Dyed,Striped,Regular,Leheriya,Hand Wash,Guests & Gifting,
49,17662860,Dupatta Bazaar Red & Gold-Toned Embroidered Dupatta with Gotta Patti,1399,Red,dupatta bazaar,0,0,Daily,Embellished,Silk Blend,Gotta Patti,Embroidered,Striped,Regular,NA,Dry Clean,Bride & Wedding Squad,
50,11414708,Dupatta Bazaar Gold-Toned Embroidered Dupatta,1299,Gold,dupatta bazaar,13,4.615384615,Party,Tasselled,Silk Blend,Gotta Patti,Embroidered,Floral,Regular,NA,Hand Wash,Guests & Gifting,
51,13552284,Dupatta Bazaar Green Embroidered Dupatta,999,Green,dupatta bazaar,8,4.25,Daily,Embellished,Cotton Blend,Chikankari,Embroidered,Floral,Regular,NA,Hand Wash,,
52,15038338,Dupatta Bazaar Turquoise Blue Embroidered Dupatta,1099,Turquoise Blue,dupatta bazaar,0,0,Daily,Taping,Net,Thread Work,Embroidered,Floral,Regular,NA,Hand Wash,,
53,18207290,Dupatta Bazaar Green & Gold-Toned Ethnic Motifs Woven Design Dupatta with Zari,999,Green,dupatta bazaar,0,0,Party,Tasselled,Net,Zari,Woven Design,Ethnic Motifs,Regular,NA,Hand Wash,NA,
54,12967786,Dupatta Bazaar White Embroidered Dupatta,899,White,dupatta bazaar,29,3.862068966,Party,Tasselled,Poly Chiffon,NA,Embroidered,Ethnic Motifs,Regular,NA,Hand Wash,Guests & Gifting,
55,15043266,Dupatta Bazaar Gold & Pink Embroidered Organza Dupatta with Sequined Detail,2499,Gold,dupatta bazaar,34,3.852941176,Daily,Embellished,Organza,Sequinned,Embroidered,Floral,Regular,NA,Dry Clean,,
56,17662972,Dupatta Bazaar Sea Green Pure Cotton Dupatta,899,Sea Green,dupatta bazaar,0,0,Daily,Solid,Pure Cotton,NA,Solid,Solid,Regular,NA,Machine Wash,NA,
57,17663018,Dupatta Bazaar Mustard Yellow Ethnic Motifs Woven Design Silk Dupatta,1199,Mustard,dupatta bazaar,0,0,Party,Woven Design,Silk Blend,NA,Woven Design,Ethnic Motifs,Regular,NA,Dry Clean,Guests & Gifting,
58,17663008,Dupatta Bazaar Cream-Coloured & Gold-Toned Striped Pure Cotton Dupatta with Zari,899,Cream,dupatta bazaar,0,0,Party,Solid,Pure Cotton,Zari,Striped,Striped,Regular,NA,Hand Wash,Guests & Gifting,
59,19171304,Dupatta Bazaar Women Pink & Cream-Coloured Ethnic Motifs Printed Art Silk Dupatta,899,Pink,dupatta bazaar,0,0,Party,Tasselled,Art Silk,NA,Printed,Ethnic Motifs,Regular,NA,Hand Wash,Guests & Gifting,
60,18273212,Dupatta Bazaar Cream-Coloured & Silver-Toned Embroidered Pure Cotton Dupatta,3499,Cream,dupatta bazaar,0,0,Party,Embellished,Pure Cotton,Gotta Patti,Embroidered,Floral,Regular,NA,Dry Clean,Guests & Gifting,
61,11497192,Dupatta Bazaar Black & Red Printed Dupatta,899,Black,dupatta bazaar,0,0,Party,Tasselled,Art Silk,NA,Printed,Ethnic Motifs,,NA,Hand Wash,,
62,13616844,Dupatta Bazaar Grey & Beige Woven Design Dupatta,899,Grey,dupatta bazaar,7,4.714285714,Daily,Tasselled,Cotton Blend,NA,Woven Design,Striped,Regular,NA,Hand Wash,,
63,12025092,Dupatta Bazaar Beige Striped Organza Dupatta,799,Beige,dupatta bazaar,4,4.5,Daily,Tasselled,Organza,NA,Striped,Striped,,NA,Hand Wash,,
64,17662984,Dupatta Bazaar Orange Ethnic Motifs Embroidered Zardozi Dupatta,1999,Orange,dupatta bazaar,0,0,Party,Embellished,Net,Zardozi,Embroidered,Ethnic Motifs,Regular,NA,Dry Clean,Bride & Wedding Squad,
65,10487098,Dupatta Bazaar White & Red Embroidered Mukaish Work Dupatta,1499,White,dupatta bazaar,0,0,Party,Embellished,Poly Chiffon,Mukaish,Embroidered,Geometric,,NA,Hand Wash,,
66,12889038,Dupatta Bazaar Orange & Red Embroidered Dupatta,2499,Orange,dupatta bazaar,5,3.8,Party,Embellished,Poly Chiffon,Phulkari,Embroidered,Floral,Regular,NA,Dry Clean,Bride & Wedding Squad,
67,18976786,Dupatta Bazaar Beige & Red Embroidered Dupatta,2199,Beige,dupatta bazaar,0,0,Party,Tasselled,Poly Georgette,Thread Work,Embroidered,Floral,Regular,NA,Dry Clean,Guests & Gifting,
68,6177369,Dupatta Bazaar Grey & Gold-Toned Embroidered Dupatta,1899,Grey,dupatta bazaar,0,0,Party,Embellished,Net,Zardozi,Embroidered,Floral,,NA,Dry Clean,,
69,17662834,Dupatta Bazaar White & Brown Paisley Embroidered Dupatta,2199,White,dupatta bazaar,0,0,Party,Taping,Poly Chiffon,NA,Embroidered,Paisley,Regular,NA,Dry Clean,Bride & Wedding Squad,
70,14447532,Dupatta Bazaar Cream & Gold-Toned Lucknowi Net Dupatta with Chikankari,1599,Cream,dupatta bazaar,6,4.5,Daily,Woven Design,Net,Chikankari,Embroidered,Paisley,Regular,NA,Dry Clean,,
71,15043242,Dupatta Bazaar Pink & Grey Ethnic Motifs Embroidered Dupatta with Thread Work,1399,Pink,dupatta bazaar,0,0,Daily,Fringed,Poly Chiffon,Thread Work,Embroidered,Ethnic Motifs,Regular,NA,Hand Wash,,
72,15038324,Dupatta Bazaar White Ethnic Motifs Embroidered Pure Chiffon Dupatta with Thread Work,1399,White,dupatta bazaar,7,4.571428571,Daily,Woven Design,Poly Chiffon,Thread Work,Embroidered,Ethnic Motifs,Regular,NA,Hand Wash,,
73,2452459,Dupatta Bazaar Cream-Coloured & Beige Embroidered Dupatta,899,Cream,dupatta bazaar,0,0,Daily,Fringed,Cotton Blend,NA,Embroidered,Floral,,NA,Hand Wash,,
74,18273226,Dupatta Bazaar Green & White Ajrakh Printed Dupatta,1199,Green,dupatta bazaar,0,0,Daily,Solid,Silk Blend,NA,Printed,Ethnic Motifs,Regular,NA,Hand Wash,Guests & Gifting,
75,10487110,Dupatta Bazaar Women Black & White Bandhani Dyed Gotta Patti Dupatta,1299,Black,dupatta bazaar,4,4,Party,Taping,Art Silk,Gotta Patti,Dyed,Bandhani,Regular,Bandhani,Dry Clean,Guests & Gifting,
76,15991910,Dupatta Bazaar Black & Gold-Toned Embroidered Dupatta with Gotta Patti,1199,Black,dupatta bazaar,8,4.375,Party,Tasselled,Silk Blend,Gotta Patti,Embroidered,Floral,Regular,NA,Dry Clean,Guests & Gifting,
77,14447490,Dupatta Bazaar Beige & White Ethnic Motifs Embroidered Dupatta with Mirror Work,999,Beige,dupatta bazaar,0,0,Daily,Embellished,Poly Chiffon,Mirror Work,Embroidered,Ethnic Motifs,Regular,NA,Hand Wash,,
78,1442725,Dupatta Bazaar Magenta Phulkari Embroidered Dupatta,1199,Magenta,dupatta bazaar,0,0,Daily,Taping,,,Embroidered,Geometric,,,,,
79,15991956,Dupatta Bazaar Brown & Gold-Toned Embroidered Dupatta with Gotta Patti,1199,Brown,dupatta bazaar,0,0,Party,Embellished,Silk Blend,Gotta Patti,Embroidered,Floral,Regular,NA,Dry Clean,,
80,15043258,Dupatta Bazaar Sea Green & White Embroidered Dupatta with Sequinned,1099,Sea Green,dupatta bazaar,0,0,Daily,Fringed,Net,Sequinned,Embroidered,Floral,Regular,NA,Dry Clean,,
81,2170210,Dupatta Bazaar Cream-Coloured Chikankari Embroidered Dupatta,1599,Cream,dupatta bazaar,0,0,Party,Taping,Cotton Blend,Chikankari,Embroidered,Floral,,NA,Machine Wash,,
82,15043252,Dupatta Bazaar Grey & Silver Ethnic Motifs Embroidered Dupatta with Zari Detail,1399,Grey,dupatta bazaar,5,4,Daily,Fringed,Net,Zari,Embroidered,Ethnic Motifs,Regular,NA,Dry Clean,,
83,18652526,Dupatta Bazaar Peach-Coloured & Gold-Toned Ethnic Motifs Printed Khari Print Dupatta,1299,Peach,dupatta bazaar,0,0,Daily,Embellished,Silk Blend,NA,Printed,Ethnic Motifs,Regular,Khari Print,Hand Wash,Guests & Gifting,
84,11631678,Dupatta Bazaar Yellow & White Embroidered Net Dupatta,1099,Yellow,dupatta bazaar,13,4.461538462,Daily,Woven Design,Cotton Blend,NA,Embroidered,Floral,,NA,Hand Wash,,
85,12967812,Dupatta Bazaar Black Printed Kalamkari Dupatta,1099,Black,dupatta bazaar,0,0,Daily,Tasselled,Silk Blend,NA,Printed,Ethnic Motifs,Regular,Kalamkari,Hand Wash,,
86,11631714,Dupatta Bazaar Red & Gold-Coloured Woven Design Banarasi Silk Dupatta,1499,Red,dupatta bazaar,7,4.714285714,Party,Tasselled,Silk Blend,Zari,Woven Design,Ethnic Motifs,Regular,NA,Dry Clean,Guests & Gifting,
87,15991994,Dupatta Bazaar Navy Blue & Yellow Ethnic Motifs Embroidered Dupatta with Phulkari,999,Navy Blue,dupatta bazaar,0,0,Party,Embellished,Poly Chiffon,Phulkari,Embroidered,Ethnic Motifs,Regular,NA,Dry Clean,,
88,9452599,Dupatta Bazaar Beige Embroidered Dupatta,899,Beige,dupatta bazaar,40,4.4,Party,Solid,Net,Thread Work,Embroidered,Floral,Regular,NA,Hand Wash,Guests & Gifting,
89,7241433,Dupatta Bazaar White & Gold-Coloured Embroidered Dupatta,899,White,dupatta bazaar,67,4.358208955,Daily,Tasselled,Organza,NA,Embroidered,Floral,,NA,Hand Wash,,
90,7241415,Dupatta Bazaar Maroon & Gold-Coloured Embroidered Dupatta,899,Maroon,dupatta bazaar,105,4.20952381,Daily,Taping,Net,NA,Solid,Floral,,NA,Dry Clean,,
91,7241410,Dupatta Bazaar Blue & Gold-Coloured Embroidered Dupatta,899,Blue,dupatta bazaar,18,3.888888889,Daily,Taping,Organza,NA,Embroidered,Floral,,NA,Dry Clean,,
92,1791172,Dupatta Bazaar White Phulkari Hand-Embroidered Dupatta,899,White,dupatta bazaar,23,3.695652174,Party,,,,Embroidered,,,,,,
93,17662818,Dupatta Bazaar Women Fuchsia Bandhani Print Kota Doria Dupatta,1099,Fuchsia,dupatta bazaar,0,0,Party,Tasselled,Cotton Blend,NA,Printed,Bandhani,Regular,NA,Hand Wash,Guests & Gifting,
94,15799304,Dupatta Bazaar Peach-Coloured & Yellow Digital Printed Dupatta,1099,Peach,dupatta bazaar,0,0,Party,Fringed,Cotton Blend,NA,Printed,Abstract,Regular,NA,Hand Wash,Guests & Gifting,
95,15799298,Dupatta Bazaar Black & Green Ethnic Motifs Printed Dupatta,1099,Black,dupatta bazaar,0,0,Party,Fringed,Cotton Blend,NA,Printed,Ethnic Motifs,Regular,NA,Hand Wash,Guests & Gifting,
96,18207268,Dupatta Bazaar Purple Checkered  Woven Design Organza Dupatta,799,Purple,dupatta bazaar,0,0,Party,Tasselled,Organza,NA,Woven Design,Checked,Regular,NA,Hand Wash,NA,
97,18207328,Dupatta Bazaar Gold-Toned & Silver-Toned Woven Design Organza Dupatta,799,Gold,dupatta bazaar,3,4.333333333,Party,Tasselled,Organza,NA,Woven Design,Checked,Regular,NA,Hand Wash,Guests & Gifting,
98,18207322,Dupatta Bazaar Green & Gold-Toned Woven Design Organza Dupatta,799,Green,dupatta bazaar,0,0,Party,Tasselled,Organza,NA,Woven Design,Checked,Regular,NA,Hand Wash,Guests & Gifting,
99,10435910,Dupatta Bazaar Beige & Gold-Toned Solid Dupatta,599,Beige,dupatta bazaar,25,3.88,Daily,Tasselled,Cotton Silk,NA,Solid,Solid,,NA,Machine Wash,,
100,17662886,Dupatta Bazaar Fuchsia Pink Poly Chiffon Dupatta,599,Fuchsia,dupatta bazaar,0,0,Party,Embellished,Poly Chiffon,NA,Solid,Solid,Regular,NA,Machine Wash,NA,
101,11514822,Dupatta Bazaar Blue & Green Printed Dupatta,899,Blue,dupatta bazaar,5,5,Party,Tasselled,Art Silk,NA,Printed,Ethnic Motifs,Regular,NA,Hand Wash,Guests & Gifting,
102,19171288,Dupatta Bazaar Beige & Grey Ethnic Motifs Printed Art Silk Dupatta,899,Beige,dupatta bazaar,0,0,Daily,Tasselled,Art Silk,NA,Printed,Ethnic Motifs,Regular,NA,Hand Wash,NA,
103,14447488,Dupatta Bazaar Brown & Black Woven Design Dupatta,899,Brown,dupatta bazaar,0,0,Party,Fringed,Cotton Blend,NA,Woven Design,Polka Dots,Regular,NA,Hand Wash,Guests & Gifting,
104,1411010,Dupatta Bazaar Beige Striped Chanderi Cotton Silk Dupatta,449,Beige,dupatta bazaar,6,2.833333333,,,,Zari,,Striped,,,,,
105,15514560,Dupatta Bazaar Beige & Pink Embroidered Organza Dupatta with Zardozi,2999,Beige,dupatta bazaar,0,0,Party,Embellished,Organza,Zardozi,Embroidered,Floral,Regular,NA,Dry Clean,Guests & Gifting,
106,15514544,Dupatta Bazaar Fuchsia & Gold-Toned Printed Bandhani Dupatta with Gotta Patti,1499,Fuchsia,dupatta bazaar,5,3.8,Party,Embellished,Poly Georgette,Gotta Patti,Printed,Bandhani,Regular,Bandhani,Dry Clean,,
107,18652592,Dupatta Bazaar Maroon & Green Embroidered Dupatta with Thread Work,6999,Maroon,dupatta bazaar,0,0,Party,Taping,Viscose Georgette,Thread Work,Embroidered,Floral,Regular,NA,Dry Clean,Bride & Wedding Squad,
108,1411015,Dupatta Bazaar Red Block Print Cotton Silk Dupatta,449,Red,dupatta bazaar,27,3.703703704,,,,Zari,Printed,Floral,,Block Print,,,
109,15514614,Dupatta Bazaar Red & Gold-Toned Printed Dupatta with Gotta Patti,1499,Red,dupatta bazaar,0,0,Party,Embellished,Poly Georgette,Gotta Patti,Printed,Striped,Regular,NA,Dry Clean,,
110,18207372,Dupatta Bazaar Black & Gold-Toned Ethnic Motifs Embroidered Dupatta with Chikankari,1999,Black,dupatta bazaar,0,0,Party,Embellished,Net,Chikankari,Embroidered,Ethnic Motifs,Regular,NA,Hand Wash,Bride & Wedding Squad,
111,7241416,Dupatta Bazaar Yellow Woven Design Dupatta,899,Yellow,dupatta bazaar,0,0,Daily,Woven Design,Poly Chiffon,NA,Woven Design,Geometric,,NA,Machine Wash,,
112,6581971,Dupatta Bazaar Blue & Gold-Toned Woven Design Dupatta,1499,Blue,dupatta bazaar,14,4.142857143,Party,Tasselled,Pure Silk,NA,Woven Design,Floral,,NA,Dry Clean,,
113,13041764,Dupatta Bazaar Women Red & Off-White Striped Dupatta,1399,Red,dupatta bazaar,5,4.2,Party,Embellished,Poly Chiffon,Gotta Patti,Striped,Leheriya,Regular,Leheriya,Hand Wash,,
114,10711482,Dupatta Bazaar Women Sea Green & Gold-Coloured Zardozi Embroidered Dupatta,1699,Sea Green,dupatta bazaar,0,0,Party,Embellished,Net,Zardozi,Embroidered,Polka Dots,Regular,NA,Dry Clean,Guests & Gifting,
115,14160400,Dupatta Bazaar White & Black Embroidered Dupatta,999,White,dupatta bazaar,11,4.454545455,Daily,Taping,Poly Chiffon,Thread Work,Embroidered,Ethnic Motifs,Regular,NA,Hand Wash,,
116,18652574,Dupatta Bazaar Black & Gold-Toned Ethnic Motifs Embroidered Dupatta with Zardozi,4599,Black,dupatta bazaar,0,0,Party,Embellished,Net,Zardozi,Embroidered,Ethnic Motifs,Regular,NA,Dry Clean,Bride & Wedding Squad,
117,18273188,Dupatta Bazaar Burgundy & Silver-Toned Ethnic Motifs Embroidered Dupatta with Mirror Work,1999,Burgundy,dupatta bazaar,0,0,Party,Embellished,Net,Mirror Work,Embroidered,Ethnic Motifs,Regular,NA,Dry Clean,Bride & Wedding Squad,
118,9260663,Dupatta Bazaar Blue Embroidered Dupatta,1299,Blue,dupatta bazaar,0,0,Party,Fringed,Silk Blend,Gotta Patti,Embroidered,Floral,,NA,Hand Wash,,
119,13552260,Dupatta Bazaar Red & Yellow Woven Design Dupatta,1999,Red,dupatta bazaar,0,0,Party,Taping,Pure Silk,NA,Woven Design,Bandhani,Regular,Bandhani,Dry Clean,,
120,17545290,Dupatta Bazaar Red & Blue Printed Dupatta,899,Red,dupatta bazaar,0,0,Daily,Tasselled,Silk Blend,NA,Printed,Floral,Regular,NA,Hand Wash,NA,
121,2452454,Dupatta Bazaar Beige & Red Embroidered Dupatta,1399,Beige,dupatta bazaar,0,0,Party,Taping,Cotton Blend,NA,Embroidered,Floral,,NA,Hand Wash,,
122,15799338,Dupatta Bazaar Maroon & Gold-Toned Dupatta,799,Maroon,dupatta bazaar,7,4.857142857,Daily,Tasselled,Cotton Blend,NA,Solid,Solid,Regular,NA,Hand Wash,,
123,15991912,Dupatta Bazaar Women White Embroidered Chiffon Dupatta,1499,White,dupatta bazaar,0,0,Party,Embellished,Poly Chiffon,Sequinned,Embroidered,Geometric,Regular,NA,Hand Wash,Guests & Gifting,
124,11497226,Dupatta Bazaar Red Solid Dupatta,999,Red,dupatta bazaar,36,4,Party,Embellished,Poly Chiffon,Mirror Work,Solid,Solid,Regular,NA,Hand Wash,Guests & Gifting,
125,1087795,Dupatta Bazaar Beige Dupatta,699,Beige,dupatta bazaar,7,3.428571429,,,,,Solid,,,,,,
126,18976806,Dupatta Bazaar Green & Black Embroidered Dupatta with Thread Work,2399,Green,dupatta bazaar,0,0,Party,Tasselled,Poly Georgette,Thread Work,Embroidered,Floral,Regular,NA,Dry Clean,Guests & Gifting,
127,17662884,Dupatta Bazaar Gold-Toned Ethnic Motifs Embroidered Dupatta with Zardozi,2499,Gold,dupatta bazaar,0,0,Party,Embellished,Net,Zardozi,Embroidered,Ethnic Motifs,Regular,NA,Dry Clean,Bride & Wedding Squad,
