,p_id,name,price,colour,brand,ratingCount,avg_rating,Occasion,Border,Fabric,Ornamentation,Pattern,Print or Pattern Type,Sustainable,Technique,Wash Care,Wedding,AddOns
576,1926289,Inddus Blue Banarasi Block Print Cotton Semi-Stitched Lehenga Choli,8399,Blue,inddus,0,0,,,,,,,,,,,
577,15463536,Inddus Stylish Black Printed Unstitched Lehenga Choli with Dupatta,5999,Black,inddus,0,0,,,,NA,,,Regular,Foil Print,,,
578,12068028,Inddus Women Orange & Beige Striped Top with Skirt,6899,Orange,inddus,334,4.21257485,Ethnic,,,,,,Regular,,Machine Wash,,NA
579,15458442,Inddus Woven Design Silk Blend Kurta Set,5999,Teal,inddus,39,4.333333333,Festive,,,NA,,Woven Design,Regular,NA,Dry Clean,Guests & Gifting,NA
580,16504552,Inddus Women Elegant Lavender & White Tie & Dye Tiered Top with Skirt,7899,Lavender,inddus,16,4.6875,Ethnic,,,,,,Regular,,Dry Clean,Bride & Wedding Squad,NA
581,14860748,Inddus Women Navy Blue Printed Top with Skirt,5099,Navy Blue,inddus,38,3.710526316,Party,,,,,,Regular,,Machine Wash,Guests & Gifting,NA
582,12130790,Inddus Women Mustard Yellow & Red Woven Design Kurta with Trousers,2699,Mustard,inddus,879,4.153583618,Festive,,,Zari,,Woven Design,,NA,Dry Clean,,NA
583,17540298,Inddus Classic Mustard Printed Semi-Stitched Lehenga Choli with Dupatta,5599,Mustard,inddus,0,0,,,,Thread Work,,,Regular,NA,,Bride & Wedding Squad,
584,13728148,Inddus Women Black & Golden Embroidered Top with Skirt,6499,Black,inddus,17,4.352941176,Party,,,,,,Regular,,Dry Clean,Guests & Gifting,NA
585,13653664,Inddus Women Maroon Solid Tunic Tunic,1899,Maroon,inddus,6,4,Casual,,Polyester,,Solid,,Regular,,Dry Clean,,
586,14808056,Inddus Women Blue & White Solid Top with Trousers & Printed Kaftan Jacket,4099,Blue,inddus,21,3.952380952,Ethnic,,,,,,Regular,,Machine Wash,Guests & Gifting,NA
587,12710890,Inddus Women Orange Solid Embellished Detail Crop Top with Woven Design Skirt,8099,Orange,inddus,30,3.466666667,Party,,,,,,Regular,,Machine Wash,,NA
588,13728152,Inddus Women Peach-Coloured & Red Printed Top with Palazzos,7999,Peach,inddus,13,4.538461538,Party,,,,,,Regular,,Dry Clean,,NA
589,13465124,Inddus Women Black & Golden Embroidered Top with Palazzos,7899,Black,inddus,14,4,Ethnic,,,,,,Regular,,Dry Clean,Guests & Gifting,NA
590,15443704,Inddus Pink & Peach-Coloured Floral Organza Saree,4099,Pink,inddus,29,4.172413793,Daily,Solid,,NA,Printed,Floral,Regular,,Dry Clean,,
591,11387446,Inddus Women Gold-Toned Silk Blend Embroidered Crop Top,2599,Gold,inddus,12,3.916666667,Ethnic,,Silk Blend,,Embroidered,Ethnic Motifs,,,Dry Clean,,
592,14786256,Inddus Women Magenta Embellished Semi-Stitched Lehenga & Unstitched Blouse With Dupatta,16999,Magenta,inddus,0,0,,,,Beads and Stones,,,Regular,NA,,,
593,17500926,Inddus Rose Saree with Embroidered border,3999,Rose,inddus,0,0,Daily,Embroidered,,NA,Printed,Floral,Regular,,Dry Clean,NA,
594,12631364,Inddus Teal Blue Solid Net Saree with Embellished Border,5399,Teal,inddus,174,4.281609195,Party,Embellished,,Sequinned,Solid,Solid,Regular,,Dry Clean,Guests & Gifting,
595,17350324,Inddus Women Burgundy & White Floral Embroidered Thread Work Georgette Kurta,3299,Burgundy,inddus,11,3.636363636,Daily,,Georgette,Thread Work,Embroidered,Floral,Regular,NA,Dry Clean,NA,
596,15443724,Inddus Maroon Ethnic Motifs Sequinned Net Saree,4999,Maroon,inddus,5,3.4,Festive,Embroidered,,Sequinned,Embroidered,Ethnic Motifs,Regular,,Dry Clean,Guests & Gifting,
597,15463504,Inddus Gorgeous Green Unstitched Lehenga Choli with Dupatta,7499,Green,inddus,0,0,,,,Thread Work,,,Regular,NA,,,
598,17915088,Inddus Navy Blue Woven Design Semi-stitched Lehenga Choli With Dupatta,6499,Navy Blue,inddus,0,0,,,,Zari,,,Regular,NA,,NA,
599,17350320,Inddus Women Navy Blue & White Embroidered Thread Work Georgette Kurta,3299,Navy Blue,inddus,13,3.846153846,Daily,,Georgette,Thread Work,Embroidered,Woven Design,Regular,NA,Dry Clean,NA,
600,17500906,Inddus Floral Saree with Embellished Border,3399,Sea Green,inddus,4,3.25,Party,Embellished,,Embroidered,Embroidered,Floral,Regular,,Dry Clean,Bride & Wedding Squad,
601,17535088,Inddus Floral Poly Chiffon Draped Luxe Kurta Set,5899,Peach,inddus,2,5,Festive,,,NA,,Floral,Regular,NA,Dry Clean,Bride & Wedding Squad,NA
602,15444848,Inddus Women Navy Blue Sequinned Velvet Stretchable Blouse,2199,Navy Blue,inddus,5,4.6,Festive,,Velvet,NA,Embellished,,Regular,,,,
603,16161012,Inddus Women Pink Thread Work Chanderi Cotton Kurta with Pants & With Dupatta,6699,Pink,inddus,16,3.8125,Festive,,,Thread Work,,Ethnic Motifs,Regular,NA,Dry Clean,,NA
604,10856380,SASSAFRAS Women Black Parallel Trousers,1499,Black,sassafras,9124,4.147523016,Casual,,,,Solid,Solid,Regular,,Machine Wash,,NA
605,13842966,Sassafras Brown & Red Geometric Printed Georgette Wrap Crop Top,1499,Brown,sassafras,7358,4.395351998,Casual,,Polyester,,Printed,Geometric,Regular,,Machine Wash,,
606,10856322,SASSAFRAS Women Black Ribbed Longline Open Front Shrug,1799,Black,sassafras,4458,4.478017048,Casual,,Cotton,,Solid,,,,Hand Wash,,
607,12222036,SASSAFRAS Black High Neck Cropped Top,999,Black,sassafras,19656,4.488146113,Casual,,Cotton Blend,,Solid,Solid,Regular,,Machine Wash,,
608,12737904,SASSAFRAS Women Off-White Puff Sleeve Faux Fur Solid Sweatshirt,1999,Off White,sassafras,2111,4.384651824,Casual,,Polyester,,Solid,Solid,Regular,,Dry Clean,,
609,13000352,SASSAFRAS Women Blue Pure Cotton Relaxed Fit High-Rise Clean Look Cropped Jeans,1999,Blue,sassafras,6150,4.210894309,Casual,,Cotton,,,,Regular,,Machine Wash,,NA
610,13935928,SASSAFRAS Sea Green and Black Colourblocked Smocked Jumpsuit,1999,Sea Green,sassafras,607,4.425041186,Casual,,Polyester,,Colourblocked,,Regular,,Machine Wash,,
611,11364534,SASSAFRAS Women Mustard Yellow Solid Longline Shirt Style Shrug,1799,Mustard,sassafras,411,4.296836983,Casual,,Polyester,,Solid,,,,Machine Wash,,
612,9552603,SASSAFRAS Women Black Slim Fit Mid-Rise Clean Look Stretchable Cropped Jeans,1999,Black,sassafras,7252,4.09666299,Casual,,Cotton,,,,Regular,,Machine Wash,,NA
613,12288052,SASSAFRAS Women White Twill Parallel Trousers,1699,White,sassafras,10786,4.179491934,Casual,,,,Solid,Solid,Regular,,Machine Wash,,NA
614,11064282,SASSAFRAS Women Cream-Coloured Solid Quilted Jacket,1999,Cream,sassafras,701,4.181169757,Casual,,Polyester,,Solid,Solid,,,Dry Clean,,NA
615,9070021,SASSAFRAS Beige & Black Animal Print Shirt Style Top,1399,Beige,sassafras,3845,4.269180754,Casual,,Polyester,,Printed,Animal,Regular,,Machine Wash,NA,
616,2046268,SASSAFRAS Navy Blue Solid Basic Jumpsuit,2199,Navy Blue,sassafras,419,4.303102625,,,Polyester,,Solid,,,,Machine Wash,,
617,12221938,SASSAFRAS Women Black Slim Fit High-Rise Clean Look Stretchable Jeans,1999,Black,sassafras,2699,3.948499444,Casual,,Cotton,,,,,,Machine Wash,,NA
618,16989926,SASSAFRAS Women Pink Solid Midi Skirt,1699,Pink,sassafras,135,4.185185185,Casual,,Polyester,,Solid,Solid,Regular,,Machine Wash,,NA
619,2280926,SASSAFRAS Navy Solid Longline Open Front Shrug,1899,Navy Blue,sassafras,273,4.501831502,Casual,,Polyester,,Solid,,,,Hand Wash,,
620,12221892,SASSAFRAS Women Green Regular Fit High-Rise Clean Look Stretchable Jeans,1999,Green,sassafras,4972,4.307320998,Casual,,Cotton,,,,,,Machine Wash,,NA
621,13581244,SASSAFRAS Women Mauve Solid Cropped Wrap Basic Jumpsuit,1999,Mauve,sassafras,203,4.083743842,Casual,,Polyester,,Solid,,Regular,,Dry Clean,,
622,13633448,SASSAFRAS Women Navy Blue Regular Fit High-Rise Clean Look Cropped Jeans,1999,Navy Blue,sassafras,1885,4.209018568,Casual,,Cotton,,,,Regular,,Machine Wash,,NA
